"","month","mean","min","max"
"1",187701,7.12903225806452,-78,83
"2",187702,63.9642857142857,-17,144
"3",187703,58.3870967741936,-56,139
"4",187704,129.333333333333,61,244
"5",187705,198.387096774194,100,311
"6",187706,254.233333333333,183,317
"7",187707,277.129032258065,239,333
"8",187708,278.58064516129,228,322
"9",187709,234.333333333333,172,294
"10",187710,171.064516129032,61,244
"11",187711,102.033333333333,6,200
"12",187712,63.9032258064516,-17,150
"13",187801,25.3225806451613,-83,106
"14",187802,36.2142857142857,-44,133
"15",187803,112.064516129032,-11,206
"16",187804,155.866666666667,94,244
"17",187805,193.483870967742,100,289
"18",187806,239.633333333333,161,317
"19",187807,294.58064516129,222,344
"20",187808,269.387096774194,222,322
"21",187809,235.6,150,322
"22",187810,188.096774193548,111,267
"23",187811,97.2666666666667,33,156
"24",187812,34.1935483870968,-67,156
"25",187901,6.19354838709677,-139,111
"26",187902,12.6428571428571,-56,111
"27",187903,84.258064516129,39,206
"28",187904,137.533333333333,0,244
"29",187905,217.806451612903,106,300
"30",187906,255.9,178,333
"31",187907,282.064516129032,222,367
"32",187908,259.870967741935,194,333
"33",187909,209.766666666667,117,306
"34",187910,198.677419354839,44,294
"35",187911,96.9,-44,244
"36",187912,63.741935483871,-56,178
"37",188001,76,0,183
"38",188002,71.0344827586207,-44,206
"39",188003,62.5483870967742,-17,222
"40",188004,144.466666666667,33,267
"41",188005,248.258064516129,122,356
"42",188006,270.333333333333,161,344
"43",188007,277.41935483871,211,328
"44",188008,265.903225806452,206,317
"45",188009,233.133333333333,156,317
"46",188010,164.548387096774,56,261
"47",188011,71.6666666666667,-50,200
"48",188012,-3.16129032258065,-156,94
"49",188101,-5.03225806451613,-100,50
"50",188102,19.7857142857143,-128,117
"51",188103,54.6129032258064,-17,122
"52",188104,129.433333333333,-11,272
"53",188105,212.870967741935,111,339
"54",188106,223.766666666667,128,311
"55",188107,271.322580645161,200,322
"56",188108,275.258064516129,194,356
"57",188109,271.333333333333,211,383
"58",188110,189.741935483871,100,306
"59",188111,107.433333333333,-11,200
"60",188112,72.8709677419355,-17,194
"61",188201,12.4838709677419,-144,94
"62",188202,49.5714285714286,-56,144
"63",188203,85.6129032258064,-6,178
"64",188204,125.4,33,228
"65",188205,176.193548387097,83,267
"66",188206,264.6,200,333
"67",188207,280.258064516129,167,339
"68",188208,268.806451612903,206,322
"69",188209,228,128,306
"70",188210,172.129032258065,117,239
"71",188211,67.4666666666667,-28,206
"72",188212,23,-72,106
"73",188301,-11.2903225806452,-106,72
"74",188302,24.4285714285714,-33,122
