"","month","mean","min","max"
"1",187701,-55.2258064516129,-117,11
"2",187702,-7.28571428571429,-83,50
"3",187703,-13.1290322580645,-122,78
"4",187704,47.2,-11,111
"5",187705,106.806451612903,28,206
"6",187706,169.266666666667,111,211
"7",187707,203.064516129032,144,228
"8",187708,204.483870967742,178,228
"9",187709,155.3,89,211
"10",187710,93.3870967741936,33,167
"11",187711,33.2333333333333,-44,106
"12",187712,-3.74193548387097,-67,56
"13",187801,-48.4193548387097,-139,50
"14",187802,-32.9642857142857,-139,50
"15",187803,23.3870967741935,-106,83
"16",187804,85.2,56,133
"17",187805,109.935483870968,44,189
"18",187806,156.266666666667,94,217
"19",187807,214.612903225806,172,272
"20",187808,200.322580645161,150,233
"21",187809,166.266666666667,72,244
"22",187810,108.548387096774,39,183
"23",187811,37.1333333333333,-17,94
"24",187812,-20.8709677419355,-106,78
"25",187901,-73.5161290322581,-200,50
"26",187902,-58,-128,22
"27",187903,2.80645161290323,-78,50
"28",187904,52.1666666666667,-39,139
"29",187905,125.612903225806,56,183
"30",187906,164.466666666667,83,233
"31",187907,195.096774193548,144,239
"32",187908,184.967741935484,128,244
"33",187909,136.366666666667,61,217
"34",187910,116.612903225806,-17,200
"35",187911,24.1333333333333,-89,144
"36",187912,-9.70967741935484,-122,100
"37",188001,4.25806451612903,-83,44
"38",188002,-20.5862068965517,-139,83
"39",188003,-9.41935483870968,-100,106
"40",188004,51.2333333333333,-33,122
"41",188005,146,17,228
"42",188006,175.666666666667,89,250
"43",188007,196.967741935484,150,233
"44",188008,184.290322580645,128,233
"45",188009,157.933333333333,100,244
"46",188010,73.5161290322581,17,156
"47",188011,5.36666666666667,-106,139
"48",188012,-59.4838709677419,-211,28
"49",188101,-76.8064516129032,-172,0
"50",188102,-58.3214285714286,-194,44
"51",188103,-0.483870967741935,-56,44
"52",188104,34.2333333333333,-61,111
"53",188105,121.677419354839,39,211
"54",188106,143.266666666667,94,217
"55",188107,191.774193548387,167,239
"56",188108,186.483870967742,133,256
"57",188109,187.8,117,261
"58",188110,100.935483870968,11,222
"59",188111,36.1666666666667,-50,128
"60",188112,5.35483870967742,-78,72
"61",188201,-53.6129032258064,-211,28
"62",188202,-19.3928571428571,-106,72
"63",188203,4.2258064516129,-78,89
"64",188204,46.0333333333333,-28,122
"65",188205,91.6129032258064,33,161
"66",188206,174.633333333333,128,250
"67",188207,202.677419354839,144,250
"68",188208,189.258064516129,139,233
"69",188209,161.533333333333,89,222
"70",188210,106.709677419355,56,167
"71",188211,10.0333333333333,-67,139
"72",188212,-38.741935483871,-122,22
"73",188301,-73.0645161290323,-172,6
"74",188302,-44.75,-106,11
"75",188303,-42.741935483871,-133,39
"76",188304,45.4,-39,106
"77",188305,115,56,194
"78",188306,189.833333333333,133,239
"79",188307,196.129032258065,144,267
"80",188308,168.870967741935,128,228
"81",188309,123.7,61,183
"82",188310,74.5161290322581,17,161
"83",188311,31.8666666666667,-61,133
"84",188312,-36.1935483870968,-183,94
"85",188401,-77.1935483870968,-156,22
"86",188402,-24.7241379310345,-156,56
"87",188403,-6.12903225806452,-150,78
"88",188404,49.8666666666667,0,100
"89",188405,115.870967741935,56,211
"90",188406,165.866666666667,94,217
"91",188407,188.677419354839,161,222
"92",188408,199.838709677419,139,244
"93",188409,180.7,111,250
"94",188410,102.161290322581,6,189
"95",188411,31.1333333333333,-44,83
"96",188412,-20.1935483870968,-194,111
"97",188501,-53.9677419354839,-150,50
"98",188502,-88.5,-189,0
"99",188503,-46.9354838709677,-139,50
"100",188504,50.7333333333333,-28,150
"101",188505,108.967741935484,56,178
"102",188506,156.4,106,206
"103",188507,211.903225806452,150,267
"104",188508,182.870967741935,100,244
"105",188509,134.633333333333,67,200
"106",188510,85.258064516129,17,156
"107",188511,39.7666666666667,-39,156
"108",188512,-16.8387096774194,-94,61
"109",188601,-65.4516129032258,-167,33
"110",188602,-61.9285714285714,-200,33
